ID,Common Name,Official Name,Birth,Birthplace,Death,Resting Place,Other Name,Political Affiliation,Primary Office,Primary Years,PO_Geography,Secondary Office,Secondary Years,SO_Geography,Third Office,Third_Years,Third_Geog,Fourth_Office,Fourth_Years,Fourth_Geog,Notes,Source 1,Source 2,LOC Identifier
000001,William B. Ogden,"Ogden, William B.",06/15/1805,,08/03/1877,,,,Mayor,1837-1838,City of Chicago,Alderman,1840-1841,Ward 6,Alderman,1847-1849,Ward 9,,,,,CPL Database,https://en.wikipedia.org/wiki/William_B._Ogden,n97001563
000002,Buckner S. Morris,"Morris, Buckner S.",08/19/1800,,12/16/1879,,,,Mayor,1838-1839,City of Chicago,Alderman,1839-1840,Ward 6,Alderman,1844,Ward 6,,,,,CPL Database,https://en.wikipedia.org/wiki/Buckner_Stith_Morris,no2001003639
000003,Benjamin W. Raymond,"Raymond, Benjamin W.",06/15/1801,,04/06/1883,,,,Mayor,1839-1840,City of Chicago,Mayor,1842-1843,City of Chicago,Alderman,1847-1848,Ward 3,,,,,CPL Database,https://en.wikipedia.org/wiki/Benjamin_Wright_Raymond,nr99026030
000004,Alexander Loyd,"Loyd, Alexander",08/19/1805,,05/07/1872,,,,Mayor,1840-1841,City of Chicago,,,,,,,,,,,CPL Database,https://en.wikipedia.org/wiki/Alexander_Loyd,no2001003642
000005,Francis C. Sherman,"Sherman, Francis C.",09/18/1805,,11/07/1870,,,Democrat,Mayor,1841-1842,City of Chicago,Mayor,1862-1865,City of Chicago,Alderman,1837-1838,Ward 1,,,,,CPL Database,https://www.chipublib.org/mayor-francis-cornwall-sherman-biography/,no2016110274
000006,Augustus Garrett,"Garrett, Augustus",1801,,11/30/1848,,,,Mayor,1843-1844,City of Chicago,Mayor,1845-1846,City of Chicago,,,,,,,,CPL Database,https://en.wikipedia.org/wiki/Augustus_Garrett,no2012030839
000007,Alson S. Sherman,"Sherman, Alson S.",04/21/1811,,09/27/1903,,,,Mayor,1844-1845,City of Chicago,Alderman,1842-1843,Ward 3,Alderman,1849-1851,Ward 5,,,,,CPL Database,https://en.wikipedia.org/wiki/Alson_Sherman,N/A
000008,John P. Chapin,"Chapin, John P.",04/21/1810,,07/27/1864,,,,Mayor,1846-1847,City of Chicago,Alderman,1844-1845,Ward 1,,,,,,,,CPL Database,https://en.wikipedia.org/wiki/John_Putnam_Chapin,N/A
000009,James H. Woodworth,"Woodworth, J.H.",12/04/1804,,03/26/1869,,,,Mayor,1848-1850,City of Chicago,U.S. House of Representatives,1855-1857,IL-2,Alderman,1848-1849,Ward 1,Alderman,1845-1846,Ward 2,,CPL Database,https://en.wikipedia.org/wiki/James_Hutchinson_Woodworth,no2008111335
000010,James Curtiss,"Curtiss, James",03/29/1806,,11/02/1859,,,,Mayor,1850-1851,City of Chicago,Mayor,1847-1848,City of Chicago,Alderman,1848-1849,Ward 2,Alderman,1846-1847,Ward 3,,CPL Database,https://en.wikipedia.org/wiki/James_Curtiss,N/A
000011,Walter S. Gurnee,"Gurnee, Walter S.",03/09/1813,,04/17/1903,,,,Mayor,1851-1853,City of Chicago,,,,,,,,,,,CPL Database,https://en.wikipedia.org/wiki/Walter_S._Gurnee,N/A
000012,Charles Gray,"Gray, Charles M.",03/07/1807,,10/17/1885,,,,Mayor,1853-1854,City of Chicago,,,,,,,,,,,CPL Database,https://www.chipublib.org/mayor-charles-mcneill-gray-biography/,N/A
000013,Isaac L. Milliken,"Milliken, Isaac L.",08/29/1815,,12/02/1885,,,,Mayor,1854-1855,City of Chicago,Alderman,1850-1854,Ward 2,,,,,,,,CPL Database,https://en.wikipedia.org/wiki/Isaac_Lawrence_Milliken,N/A
000014,Levi Boone,"Boone, Levi D.",12/08/1808,,01/24/1882,,,,Mayor,1855-1856,City of Chicago,Alderman,1846-1847,Ward 1,Alderman,1847-1848,Ward 2,Alderman,1854-1855,Ward 2,,CPL Database,https://www.chipublib.org/mayor-levi-day-boone-biography/,N/A
000015,Thomas Dyer,"Dyer, Thomas",01/13/1805,,06/06/1862,,,,Mayor,1856-1857,City of Chicago,,,,,,,,,,,CPL Database,https://www.chipublib.org/mayor-thomas-dyer-biography/,no2010183079
000016,John Wentworth,"Wentworth, John",03/05/1815,,10/16/1888,,,,Mayor,1857-1858,City of Chicago,Mayor,1860-1861,City of Chicago,U.S. House of Representatives,1843-1851,IL-4,,,,,CPL Database,https://www.chipublib.org/mayor-john-wentworth-biography/,n87803612
000017,John C. Haines,"Haines, John C.",05/26/1818,,07/04/1896,,,,Mayor,1858-1860,City of Chicago,Alderman,1848-1854,Ward 5,,,,,,,,CPL Database,https://en.wikipedia.org/wiki/John_Charles_Haines,
000018,Julian Rumsey,"Rumsey, Julan S.",04/03/1823,,04/20/1886,,,,Mayor,1861-1862,City of Chicago,,,,,,,,,,,CPL Database,https://www.chipublib.org/mayor-julian-sidney-rumsey-biography/,
000019,John B. Rice,"Rice, John B.",05/28/1809,,12/17/1874,,,,Mayor,1865-1869,City of Chicago,,,,,,,,,,,CPL Database,https://en.wikipedia.org/wiki/John_Blake_Rice,N/A
000020,Roswell Mason,"Mason, Roswell B.",09/19/1805,,01/01/1892,,,,Mayor,1869-1871,City of Chicago,,,,,,,,,,,CPL Database,https://en.wikipedia.org/wiki/Roswell_B._Mason,nr98014693
000021,Joseph Medill,"Medill, Joseph",04/06/1823,,03/16/1899,,,,Mayor,1871-1873,City of Chicago,,,,,,,,,,,CPL Database,https://en.wikipedia.org/wiki/Joseph_Medill,n92010103
000022,Lester Bond,"Bond, Lester L.",10/27/1829,,04/15/1903,,,,Mayor,1873,City of Chicago,Alderman,1871-1873,Ward 10,Alderman,1863-1866,Ward 6,,,,Acting Mayor  absence of Joseph Medill,CPL Database,https://en.wikipedia.org/wiki/Lester_L._Bond,
000023,Harvey Colvin,"Colvin, Harvey Doolittle",12/18/1815,,04/16/1892,,,,Mayor,1873-1875,City of Chicago,,,,,,,,,,,CPL Database,,
000024,Thomas Hoyne,"Hoyne, Thomas",02/11/1817,,07/27/1883,,,,Mayor,1876,City of Chicago,Alderman,,,,,,,,,Did not take office due to election dispute.,CPL Database,https://en.wikipedia.org/wiki/Thomas_Hoyne,
000025,Monroe Heath,"Heath, Monroe",03/27/1827,,10/21/1894,,,,Mayor,1876-1879,City of Chicago,Alderman,1871-1876,Ward 12,,,,,,,,CPL Database,https://www.chipublib.org/mayor-monroe-heath-biography/,https://en.wikipedia.org/wiki/Monroe_Heath
000026,"Carter H. Harrison, Sr.","Harrison, Carter H.",02/15/1825,,10/28/1893,,,,Mayor,1879-1887,City of Chicago,Mayor,1893,City of Chicago,U.S. House of Representatives,1875-1879,IL-2,,,,,CPL Database,https://en.wikipedia.org/wiki/Carter_Harrison_Sr.,N/A
000027,John Roche,"Roche, John A.",08/12/1844,,02/10/1904,,,,Mayor,1887-1889,City of Chicago,,,,,,,,,,,CPL Database,https://en.wikipedia.org/wiki/John_A._Roche,N/A
000028,DeWitt Cregier,"Cregier, Dewitt C.",06/01/1829,,11/09/1898,,,,Mayor,1889-1891,City of Chicago,,,,,,,,,,,CPL Database,https://en.wikipedia.org/wiki/DeWitt_Clinton_Cregier,N/A
000029,Hempstead Washburne,"Washburne, Hempstead",11/11/1851,,04/13/1918,,,,Mayor,1891-1893,City of Chicago,,,,,,,,,,,CPL Database,http://id.loc.gov/authorities/names/n94082170,n94082170
000030,George B. Swift,"Swift, George B.",12/14/1845,,07/02/1912,,,,Mayor,1893,City of Chicago,Mayor,1895-1897,City of Chicago,Alderman,1879-1881,Ward 11,Alderman,1892-1894,Ward 11,,CPL Database,https://en.wikipedia.org/wiki/George_Bell_Swift,N/A
000031,John Hopkins,"Hopkins, John P.",10/29/1858,,10/13/1918,,,,Mayor,1893-1895,City of Chicago,,,,,,,,,,,CPL Database,https://en.wikipedia.org/wiki/John_Patrick_Hopkins,N/A
000032,"Carter Harrison, Jr.","Harrison, Carter H., Jr.",04/23/1860,,12/25/1953,,,,Mayor,1897-1905,City of Chicago,Mayor,1911-1915,City of Chicago,,,,,,,,CPL Database,http://id.loc.gov/authorities/names/no96021327,no96021327
